source_id|target_id|label
enst00000353224|ensg00000101349|transcribed_from
enst00000378423|ensg00000101349|transcribed_from
enst00000378429|ensg00000101349|transcribed_from
enst00000657954|ensg00000286740|transcribed_from
enst00000428769|ensg00000232738|transcribed_from
enst00000656748|ensg00000286470|transcribed_from
enst00000449270|ensg00000243961|transcribed_from
enst00000437504|ensg00000132623|transcribed_from
enst00000378392|ensg00000132623|transcribed_from
enst00000378380|ensg00000132623|transcribed_from
enst00000488991|ensg00000132623|transcribed_from
enst00000655841|ensg00000227906|transcribed_from
enst00000658520|ensg00000227906|transcribed_from
enst00000603245|ensg00000227906|transcribed_from
enst00000661614|ensg00000227906|transcribed_from
enst00000663466|ensg00000227906|transcribed_from
enst00000670580|ensg00000227906|transcribed_from
enst00000664172|ensg00000227906|transcribed_from
enst00000658443|ensg00000227906|transcribed_from
enst00000666905|ensg00000227906|transcribed_from
enst00000603542|ensg00000227906|transcribed_from
enst00000662559|ensg00000227906|transcribed_from
enst00000661134|ensg00000227906|transcribed_from
enst00000655307|ensg00000227906|transcribed_from
enst00000660550|ensg00000227906|transcribed_from
enst00000667042|ensg00000227906|transcribed_from
enst00000671416|ensg00000227906|transcribed_from
enst00000438646|ensg00000227906|transcribed_from
enst00000656496|ensg00000227906|transcribed_from
enst00000421143|ensg00000227906|transcribed_from
enst00000426491|ensg00000227906|transcribed_from
enst00000605592|ensg00000227906|transcribed_from
enst00000451151|ensg00000227906|transcribed_from
enst00000671453|ensg00000227906|transcribed_from
enst00000692436|ensg00000227906|transcribed_from
enst00000453544|ensg00000227906|transcribed_from
enst00000701361|ensg00000227906|transcribed_from
enst00000614195|ensg00000276525|transcribed_from
enst00000693732|ensg00000132639|transcribed_from
enst00000689077|ensg00000132639|transcribed_from
enst00000690099|ensg00000132639|transcribed_from
enst00000690766|ensg00000132639|transcribed_from
enst00000254976|ensg00000132639|transcribed_from
enst00000691665|ensg00000132639|transcribed_from
enst00000304886|ensg00000132639|transcribed_from
enst00000693325|ensg00000132639|transcribed_from
enst00000689858|ensg00000132639|transcribed_from
enst00000689757|ensg00000132639|transcribed_from
enst00000685131|ensg00000132639|transcribed_from
enst00000689248|ensg00000132639|transcribed_from
enst00000687785|ensg00000132639|transcribed_from
enst00000691161|ensg00000132639|transcribed_from
enst00000692411|ensg00000132639|transcribed_from
enst00000690812|ensg00000132639|transcribed_from
enst00000430336|ensg00000132639|transcribed_from
enst00000706269|ensg00000132639|transcribed_from
enst00000691353|ensg00000132639|transcribed_from
enst00000492814|ensg00000132639|transcribed_from
enst00000692697|ensg00000132639|transcribed_from
enst00000689723|ensg00000132639|transcribed_from
enst00000495883|ensg00000132639|transcribed_from
enst00000662058|ensg00000230506|transcribed_from
enst00000424931|ensg00000230506|transcribed_from
enst00000666915|ensg00000232448|transcribed_from
enst00000458004|ensg00000232448|transcribed_from
enst00000688853|ensg00000289505|transcribed_from
enst00000664194|ensg00000286936|transcribed_from
enst00000416198|ensg00000237005|transcribed_from
enst00000446637|ensg00000214835|transcribed_from
enst00000441308|ensg00000230750|transcribed_from
enst00000347364|ensg00000125863|transcribed_from
enst00000651692|ensg00000125863|transcribed_from
enst00000652676|ensg00000125863|transcribed_from
enst00000399054|ensg00000125863|transcribed_from
enst00000609375|ensg00000285508|transcribed_from
enst00000649912|ensg00000285723|transcribed_from
enst00000334534|ensg00000149346|transcribed_from
enst00000488816|ensg00000149346|transcribed_from
enst00000456064|ensg00000235036|transcribed_from
enst00000254958|ensg00000101384|transcribed_from
enst00000423891|ensg00000101384|transcribed_from
enst00000617357|ensg00000101384|transcribed_from
enst00000617965|ensg00000101384|transcribed_from
enst00000488480|ensg00000101384|transcribed_from
enst00000612857|ensg00000101384|transcribed_from
enst00000613518|ensg00000101384|transcribed_from
enst00000622545|ensg00000101384|transcribed_from
enst00000620743|ensg00000101384|transcribed_from
enst00000615931|ensg00000273745|transcribed_from
enst00000667822|ensg00000270792|transcribed_from
enst00000605292|ensg00000270792|transcribed_from
enst00000603462|ensg00000270792|transcribed_from
enst00000603180|ensg00000270792|transcribed_from
enst00000603985|ensg00000270792|transcribed_from
enst00000417299|ensg00000224961|transcribed_from
enst00000654385|ensg00000224961|transcribed_from
enst00000418690|ensg00000234900|transcribed_from
enst00000448859|ensg00000232900|transcribed_from
enst00000668688|ensg00000232900|transcribed_from
enst00000654048|ensg00000232900|transcribed_from
enst00000665099|ensg00000232900|transcribed_from
enst00000657181|ensg00000232900|transcribed_from
enst00000667238|ensg00000232900|transcribed_from
enst00000666969|ensg00000232900|transcribed_from
enst00000660168|ensg00000232900|transcribed_from
enst00000663948|ensg00000232900|transcribed_from
enst00000653164|ensg00000232900|transcribed_from
enst00000655050|ensg00000232900|transcribed_from
enst00000655890|ensg00000232900|transcribed_from
enst00000656902|ensg00000232900|transcribed_from
enst00000653414|ensg00000232900|transcribed_from
enst00000656524|ensg00000232900|transcribed_from
enst00000665608|ensg00000232900|transcribed_from
enst00000662420|ensg00000232900|transcribed_from
enst00000657238|ensg00000232900|transcribed_from
enst00000663360|ensg00000232900|transcribed_from
enst00000406588|ensg00000217809|transcribed_from
enst00000659767|ensg00000125899|transcribed_from
enst00000662726|ensg00000125899|transcribed_from
enst00000378252|ensg00000125899|transcribed_from
enst00000605338|ensg00000270777|transcribed_from
enst00000444792|ensg00000230990|transcribed_from
enst00000666460|ensg00000230990|transcribed_from
enst00000412405|ensg00000230990|transcribed_from
enst00000667330|ensg00000230990|transcribed_from
enst00000451072|ensg00000235544|transcribed_from
enst00000632608|ensg00000282478|transcribed_from
enst00000661821|ensg00000287754|transcribed_from
enst00000603272|ensg00000271397|transcribed_from
enst00000437662|ensg00000237256|transcribed_from
